am_from_code_adjusted,calendar,civil_date,delta_am_days,jd_ut,jd_ut_source,julian_date,key,kind,label,raw_present,raw_source_group,status_am,status_jd,topo_lunar_sites,topo_lunar_visible,topo_solar_sites,topo_solar_visible,volcano_date_mode,volcano_name,volcano_vei
,julian,,,2111180.689976852,gsfc_master,,SE_1068_02_06,SE,,False,,,,0,0,0,0,,,
,julian,,,2112391.483738426,gsfc_master,,SE_1071_05_31,SE,,False,,,,0,0,0,0,,,
,julian,,,,,,SN_1006_FirstObs,SN,,True,TOPO,,,0,0,0,0,,,
366953.0,,,0.0,2088619.5,master_validated,,SN_1006_first,,SN 1006 — first sighting in records — 1 May 1006,False,,OK,NA,0,0,0,0,,,
430969.0,,,0.0,2152635.5,master_validated,,SN_1181_first,,"SN 1181 — first sightings (date-only, window early Aug)",False,,OK,WARN,0,0,0,0,,,
573879.0,,,0.0,2295545.5,master_validated,,SN_1572_Tycho,,SN 1572 (Tycho) — first report (date-only),False,,OK,WARN,0,0,0,0,,,
585524.0,,,0.0,2307190.5,master_validated,,SN_1604_Kepler,,SN 1604 (Kepler) — first report (date-only),False,,OK,WARN,0,0,0,0,,,
,julian,,,1507900.0989166666,gsfc_master,,ThalesEclipse,SE,,False,,,,0,0,0,0,,,
-207270.0,,,0.0,1514396.5,master_validated,,VAT4956_aurora,,VAT 4956 — auroral ‘red glow’ observation — 12 Mar 567 BCE,False,,OK,NA,0,0,0,0,,,
,julian,,,,,,VAT_4956,TABLET,,False,,,,0,0,0,0,,,
,julian,-1612-01-01,,1132275.0,volcano,,VOLC-0001,volcano,Santorini (Thera) — Minoan eruption,False,,,,0,0,0,0,range_midpoint,Santorini (Thera) — Minoan eruption,6–7 (est.)
,julian,+0079-08-24,,1750148.0,volcano,,VOLC-0002A,volcano,Vesuvius 79 CE — candidate Aug 24 (Julian),False,,,,0,0,0,0,exact,Vesuvius 79 CE — candidate Aug 24 (Julian),5
,julian,+0079-10-24,,1750209.0,volcano,,VOLC-0002B,volcano,Vesuvius 79 CE — candidate Oct 24 (Julian),False,,,,0,0,0,0,exact,Vesuvius 79 CE — candidate Oct 24 (Julian),5
,julian,+1257-09-15,,2180435.0,volcano,,VOLC-0003,volcano,Samalas (Rinjani) 1257,False,,,,0,0,0,0,range_midpoint,Samalas (Rinjani) 1257,7 (est.)
,gregorian,+1815-04-11,,2384074.5,volcano,,VOLC-0004,volcano,Tambora 1815 (climactic),False,,,,0,0,0,0,range_midpoint,Tambora 1815 (climactic),7
,gregorian,+1783-06-08,,2372446.0,volcano,,VOLC-0005,volcano,Laki (Skaftár Fires) start,False,,,,0,0,0,0,exact,Laki (Skaftár Fires) start,6 (fissure)
,gregorian,+1600-02-19,,2305497.0,volcano,,VOLC-0006,volcano,Huaynaputina 1600,False,,,,0,0,0,0,exact,Huaynaputina 1600,6
,julian,+0946-11-16,,2066903.5,volcano,,VOLC-0007,volcano,Changbaishan / Paektu (Millennium eruption),False,,,,0,0,0,0,range_midpoint,Changbaishan / Paektu (Millennium eruption),6–7
,julian,+0940-01-16,,2064407.5,volcano,,VOLC-0008,volcano,Eldgjá fissure eruption,False,,,,0,0,0,0,range_midpoint,Eldgjá fissure eruption,6 (fissure)
,julian,-0042-04-01,,1705808.0,volcano,,VOLC-0009,volcano,Okmok II (Aleutians),False,,,,0,0,0,0,range_midpoint,Okmok II (Aleutians),6 (est.)
,julian,+1104-10-16,,2124583.0,volcano,,VOLC-0010,volcano,Hekla 1104 (historical),False,,,,0,0,0,0,range_midpoint,Hekla 1104 (historical),5 (est.)
,julian,+0431-07-03,,1878663.5,volcano,,VOLC-0011,volcano,Ilopango (TBJ) ~431 CE,False,,,,0,0,0,0,range_midpoint,Ilopango (TBJ) ~431 CE,6
,gregorian,+1883-08-27,,2409050.0,volcano,,VOLC-0012,volcano,Krakatoa 1883 (climax day),False,,,,0,0,0,0,exact,Krakatoa 1883 (climax day),6
,gregorian,+2022-01-15,,2459594.6708333334,volcano,,VOLC-0013,volcano,Hunga Tonga–Hunga Ha'apai 2022,False,,,,0,0,0,0,exact,Hunga Tonga–Hunga Ha'apai 2022,5+
