key,label,eclipse_type,JD_UT,site_name,lat_deg,lon_deg,elev_m,visible,classification,sun_alt_deg,sun_az_deg,moon_alt_deg,moon_az_deg,illumination,phase_angle_deg,elongation_deg,error
SE_-0762_BurSagale,Total Solar Eclipse — 15 Jun 763 BCE (Bur‑Sagale),solar,1442902.84307,Luoyang,34.62,112.45,144.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
SE_-0762_BurSagale,Total Solar Eclipse — 15 Jun 763 BCE (Bur‑Sagale),solar,1442902.84307,Kaifeng,34.8,114.31,73.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
SE_-0762_BurSagale,Total Solar Eclipse — 15 Jun 763 BCE (Bur‑Sagale),solar,1442902.84307,Nanjing,32.06,118.79,20.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
SE_-0762_BurSagale,Total Solar Eclipse — 15 Jun 763 BCE (Bur‑Sagale),solar,1442902.84307,Beijing,39.9,116.4,43.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
SE_-0762_BurSagale,Total Solar Eclipse — 15 Jun 763 BCE (Bur‑Sagale),solar,1442902.84307,Kyoto (Heian-kyō),35.01,135.77,50.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
SE_-0762_BurSagale,Total Solar Eclipse — 15 Jun 763 BCE (Bur‑Sagale),solar,1442902.84307,Córdoba,37.88,-4.78,106.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
SE_-0762_BurSagale,Total Solar Eclipse — 15 Jun 763 BCE (Bur‑Sagale),solar,1442902.84307,Toledo,39.86,-4.03,529.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
SE_-0762_BurSagale,Total Solar Eclipse — 15 Jun 763 BCE (Bur‑Sagale),solar,1442902.84307,Paris,48.86,2.35,35.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
SE_-0762_BurSagale,Total Solar Eclipse — 15 Jun 763 BCE (Bur‑Sagale),solar,1442902.84307,London,51.51,-0.13,25.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
SE_-0584_Thales,Total Solar Eclipse — 28 May 585 BCE (Thales),solar,1507900.09892,Jerusalem,31.78,35.23,800.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
SE_-0584_Thales,Total Solar Eclipse — 28 May 585 BCE (Thales),solar,1507900.09892,Rome,41.9,12.5,20.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
